Restaurant_address,Restaurant_name,online_order,book_table,Rating,Votes,location,restaurant_type,dish_liked,cuisines,Cost_for_two_people,reviews_list,listed_in_type,listed_in_city
"6Th Block, 3Rd Stage, Banashankari, Bangalore",The Coffee Shack,Yes,Yes,4.2,164,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500,Very Good Service,Cafes,Kumaraswamy Layout
"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore",Caf-Eleven,No,No,4,424,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450,Very Good Service,Cafes,Banashankari
"2303, 21St Cross, K R Road, 2Nd Stage, Banashankari, Bangalore",Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650,Good Food and Service,Cafes,Jayanagar
"241, 4Th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",Catch-up-ino,Yes,No,3.9,133,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800,Good Food and Service,Cafes,Jayanagar
"405, 24Th Cross, 9Th Main, 2Nd Stage, Banashankari, Bangalore",Kirthi's Biryani,Yes,No,3.8,144,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Good Food and Service,Cafes,Jayanagar
"504, Cj Venkata Das Road, Padmanabhangar, 2Nd Stage, Banashankari, Bangalore",T3H Cafe,No,No,3.9,93,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300,Good Food and Service,Cafes,Jayanagar
"47, 48 &49, 3Rd Floor, 21St Main Road, 2Nd Stage, Banashankari, Bangalore",360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,Cafe,Not available,"Cafe, Chinese, Continental, Italian",400,Average Experience,Cafes,Basavanagudi
"146, 50 Ft Road, 3Rd Phase, 3Rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",The Vintage Cafe,Yes,No,3,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Average Experience,Cafes,Bannerghatta Road
"3353, 2Nd Cross, Opposite Auden School, Hoskerehalli Cross, 3Rd Stage, Banashankari, Bangalore",Woodee Pizza,Yes,No,3.7,180,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500,Good Food and Service,Cafes,JP Nagar
"Srf Complex, Near Bda Complex, Kathreguppe Main Road, Banashankari, Bangalore",Cafe Coffee Day,No,No,3.6,28,Banashankari,Cafe,Not available,"Cafe, Fast Food",900,Good Food and Service,Cafes,Bannerghatta Road
"224/Y, 4Th Phase, 7Th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",My Tea House,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600,Good Food and Service,Cafes,JP Nagar
"775/1, Opposite Gupta Collage, 7Th Block, 3Rd Stage, Banashankari, Bangalore",Hide Out Cafe,No,No,3.7,31,Banashankari,Cafe,Not available,Cafe,300,Good Food and Service,Cafes,BTM
"101, Water Tank Road, 2Nd Block, 3Rd Stage, Banashankari, Bangalore",CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,Not available,"Cafe, Bakery",600,Average Experience,Cafes,BTM
"27Th Cross Rd, Banashankari Stage Ii, Banashankari, Bangalore",Coffee Tindi,Yes,No,3.8,75,Banashankari,"Cafe, Quick Bites",Not available,"Cafe, South Indian",200,Good Food and Service,Cafes,Bannerghatta Road
"1036, Srinidhi Plaza, 3Rd Floor, Above Nilgiris, Stage 2, Banashankari, Bangalore",Sea Green Cafe,No,No,3.3,4,Banashankari,Cafe,Not available,"Cafe, Fast Food, Beverages",500,Average Experience,Cafes,JP Nagar
"940, Shantha Complex, 20Th Main, 2Nd Stage, Banashankari, Bangalore",Cuppa,No,No,3.3,23,Banashankari,Cafe,Not available,"Cafe, Fast Food",550,Average Experience,Cafes,BTM
"112, Bull Temple Road,Next To More Basavanagudi, Bangalore",Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550,Good Food and Service,Cafes,BTM
"30, Surveyor Street, Dvg Road, Basavanagudi, Bangalore",Redberrys,Yes,No,4,219,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600,Very Good Service,Cafes,Bannerghatta Road
"2/1, 7Th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",Foodiction,Yes,No,2.8,506,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500,Average Experience,Delivery,Bannerghatta Road
"101 Ground Floor, Manjunatha Complex, 22Nd Main Road, Banashankari, Bangalore",Sweet Truth,Yes,No,3.9,35,Banashankari,Delivery,Not available,"Bakery, Desserts",500,Good Food and Service,Delivery,Bannerghatta Road
"101, Ground Floor, Manjunatha Complex, 22Nd Main Road, 2Nd Stage, Banashankari, Bangalore",Ovenstory Pizza,Yes,No,3.9,172,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750,Good Food and Service,Delivery,JP Nagar
"80, Bda Complex, 2Nd Stage, Banashankari, Bangalore",Faasos,Yes,No,4.2,415,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500,Very Good Service,Delivery,BTM
"32, 7Th Main Road, Dwaraka Nagar,Near Pes College, Banashankari, Bangalore",Behrouz Biryani,Yes,No,3.9,230,Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650,Good Food and Service,Delivery,BTM
"8, 2Nd Floor, 1St Main, Arush Trapeze, Mount Joy Road, Behind Bms College Of Engineering, Hanumanthnagar, Banashankari, Bangalore",Fast And Fresh,Yes,No,2.8,91,Banashankari,Quick Bites,Not available,"North Indian, Chinese, Fast Food",400,Average Experience,Delivery,Bannerghatta Road
"4, Opposite Nmkrv College, 21St C Cross Road, 3Rd Block, Jayanagar, Bangalore",Szechuan Dragon,Yes,No,4.2,1647,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600,Very Good Service,Delivery,Bannerghatta Road
"556/A, Water Tank Road, 3Rd Stage, Banashankari, Bangalore",Empire Restaurant,Yes,No,4.4,4884,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750,Very Good Service,Delivery,JP Nagar
"39, 3Rd Main,4Th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",Maruthi Davangere Benne Dosa,Yes,No,4,17,Banashankari,Quick Bites,Not available,South Indian,150,Very Good Service,Delivery,JP Nagar
"Opp Vinayaka Hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore",Chaatimes,Yes,No,3.8,133,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200,Good Food and Service,Delivery,Bannerghatta Road
"2466, Bhaskar Grand Tower, 24Th Cross, Opposite Bda Complex, Banashankari, Bangalore",Havyaka Mess,No,No,3.9,28,Banashankari,Mess,Not available,South Indian,300,Good Food and Service,Delivery,Bannerghatta Road
"645, 1St Floor, 24Th Cross, 24Th Main, 2Nd Stage, Banashankari, Bangalore",McDonald's,Yes,No,3.9,286,Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500,Good Food and Service,Delivery,BTM
"2Nd Stage, Banashankari, Bangalore",Domino's Pizza,Yes,No,3.9,540,Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800,Good Food and Service,Delivery,Bannerghatta Road
"1750, 14Th Main, Police Station Road, Kumaraswamy Layout, Bangalore",Hotboxit,No,No,3.8,36,Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",400,Good Food and Service,Delivery,Bannerghatta Road
"1621, 1St Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore",Kitchen Garden,Yes,No,3.6,244,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",300,Good Food and Service,Delivery,Bannerghatta Road
"179, 1St Floor, Jawarlalnehru Road, Beml Layout, Rajarajeshwari Nagar, Bangalore",Recipe,Yes,No,4,804,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450,Very Good Service,Delivery,Bannerghatta Road
"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",Beijing Bites,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850,Good Food and Service,Delivery,Bannerghatta Road
"276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3Rd Stage, Banashankari, Bangalore",Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300,Average Experience,Delivery,Bannerghatta Road
"1514, 4Th Cross, 7Th Main, Rpc Layout, 2Nd Stage, Vijay Nagar, Bangalore",Petoo,No,No,3.7,21,Banashankari,Quick Bites,Not available,North Indian,450,Good Food and Service,Delivery,Bannerghatta Road
"808/6-1, 24Th A Cross, K.R Road, 2Nd Stage, Banashankari, Bangalore",Shree Cool Point,Yes,No,4.1,28,Vijay Nagar,Quick Bites,Not available,"Fast Food, Street Food, Beverages",150,Very Good Service,Delivery,Bannerghatta Road
"178, Next To Old Keb Office, 8Th F Main Road, 24B Cross, 3Rd Block, Jayanagar, Bangalore",Corner House Ice Cream,No,No,4.3,345,Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400,Very Good Service,Delivery,JP Nagar
"78, 21St Main Road, Near Bda Complex, 2Nd Stage, Banashankari, Bangalore",Biryanis And More,Yes,No,4,618,Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750,Very Good Service,Delivery,Bannerghatta Road
"10, Stavyah Arcade, 3Rd Floor 9Th Main, Yarab Nagar Main Road, Banashankari, Bangalore",Roving Feast,No,No,4,1047,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450,Very Good Service,Delivery,BTM
"218/1,11Th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",FreshMenu,Yes,No,3.9,627,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Good Food and Service,Delivery,JP Nagar
"484/A, 1St Stage, 2Nd Block, 4Th Main Rd, Sbm Colony, Seetha Circle, Banashankari, Bangalore",Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,Quick Bites,Not available,"Biryani, Fast Food",300,Good Food and Service,Delivery,JP Nagar
"18, B K Complex, Opposite To Bda Complex, 21St, Main Road, 2Nd Stage, Banashankari, Bangalore",Wamama,Yes,Yes,4.2,354,Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Very Good Service,Delivery,BTM
"942, 3Rd Floor, 21St Main Road, 2Nd Stage, Banashankari, Bangalore",Five Star Chicken,No,No,3.6,55,Banashankari,Quick Bites,Not available,"Fast Food, Burger",200,Good Food and Service,Delivery,Bannerghatta Road
"1828, 50 Feet Road, 2Nd Stage, Kumaraswamy Layout, Bangalore",XO Belgian Waffle,Yes,No,3.7,17,Banashankari,Dessert Parlor,Not available,"Desserts, Beverages",400,Good Food and Service,Delivery,JP Nagar
"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",Peppy Peppers,No,No,4.2,244,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800,Very Good Service,Delivery,JP Nagar
"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",Goa 0 Km,Yes,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800,Good Food and Service,Delivery,JP Nagar
"295/B, 7Th Main Road, 100 Feet Ring Road, 7Th Block, 3Rd Stage, Banashankari, Bangalore",Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,Quick Bites,Not available,Chinese,150,Good Food and Service,Delivery,Jayanagar
"31, Opposite Vijaya College, Rv Road, Basavanagudi, Bangalore",1947,No,Yes,4,808,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850,Very Good Service,Delivery,Jayanagar
"30Th Cross, 8Th Main, Near Jain Temple, 4Th Block, Jayanagar, Bangalore",Cake of the Day,No,No,3.7,78,Banashankari,"Bakery, Dessert Parlor",Not available,Bakery,150,Good Food and Service,Delivery,Jayanagar
"10, 30Th Main, Deve Gowda Petrol Bunk Road, 3Rd Stage, Banashankari, Bangalore",Kabab Magic,Yes,No,4.1,1720,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400,Very Good Service,Delivery,Jayanagar
"186, 11Th Main, 4Th Cross, Hanumanthnagar, Banashankari, Bangalore",Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,Quick Bites,Not available,South Indian,100,Good Food and Service,Delivery,Jayanagar
"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore",Gustoes Beer House,No,No,4.1,868,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,Very Good Service,Delivery,BTM
"476, 2Nd Floor, 9Th Cross, Avalahalli Bda Park, Bsk 3Rd Stage, Banashankari, Bangalore",Sugar Rush,No,No,3.8,39,Banashankari,Bakery,Not available,"Bakery, Desserts",300,Good Food and Service,Delivery,BTM
"Opposite Icici Bank, Hanuman Nagar, Banashankari, Bangalore",Burger King,Yes,No,3.2,71,Basavanagudi,Quick Bites,Not available,"Burger, Fast Food, Beverages",600,Average Experience,Delivery,Wilson Garden
"100 Feet Road, 3Rd Stage, Banashankari, Bangalore",The Good Bowl,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery",Not available,"Italian, North Indian, Biryani",500,Good Food and Service,Delivery,Banashankari
"Shop 33 & 30, 21St Main, Near Bda Complex, 2Nd Stage, Banashankari, Bangalore",The Biryani Cafe,No,No,4.1,520,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300,Very Good Service,Delivery,Wilson Garden
"39, S B M Colony, Near-Sita Circle, 1St Stage, Banashankari, Bengaluru",Spicy Tandoor,No,No,0,0,Banashankari,Quick Bites,Not available,North Indian,150,Needs Improvement,Delivery,Jayanagar
"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",LSD Cafe,No,No,2.9,84,Banashankari,Delivery,Not available,"Chinese, Continental, Italian, North Indian",700,Average Experience,Delivery,Jayanagar
"16Th Main Road, Near Pesit College, Banashankari, Bangalore",Rolls On Wheels,No,No,3.6,299,Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300,Good Food and Service,Delivery,Jayanagar
"1430, 22Nd Cross, Next To Coffee Day, Near Bda Complex, Banashankari, Bangalore",Om Sri Vinayaka Chats,No,No,0,0,Banashankari,"Takeaway, Delivery",Not available,"Street Food, Fast Food",500,Needs Improvement,Delivery,Basavanagudi
"727, 23Rd Cross, Kr Road, 2Nd Stage, Banashankari, Bangalore",Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150,Very Good Service,Delivery,Basavanagudi
"36, 2Nd Main, Rpc Layout, Vijay Nagar, Bangalore",Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,Quick Bites,Not available,"Biryani, South Indian",300,Good Food and Service,Delivery,Sarjapur Road
"2477, 24Th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",Kolbeh,No,No,3.7,22,Banashankari,Quick Bites,Not available,Fast Food,500,Good Food and Service,Delivery,Bellandur
"1142, 22Nd Cross, 30Th Main, Banashankari, Bangalore",Upahar Sagar,No,No,3.8,39,Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350,Good Food and Service,Delivery,Marathahalli
"512, 2Nd Cross, 3Rd Stage, Banashankari, Bangalore",Kadalu Sea Food Restaurant,Yes,No,3.8,153,Vijay Nagar,Fine Dining,Not available,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Good Food and Service,Delivery,Sarjapur Road
"161/C, 6Th Main, 80 Feet Road, Bhuvaneshwari Nagercoil, Banashankari, Bangalore",Frozen Bottle,Yes,No,4.2,146,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400,Very Good Service,Delivery,Sarjapur Road
"45/12, 4Th Cross, 10Th Main, Gururaja Layout, Banashankari, Bangalore",Parimala Sweets,No,No,3.5,14,Banashankari,Sweet Shop,Not available,"Mithai, Street Food",200,Good Food and Service,Delivery,Bellandur
"52, 1St Floor, 33Rd Cross, 4Th Block, Jayanagar, Bangalore",Vaishali Deluxe,No,No,3.8,42,Banashankari,Casual Dining,Not available,"North Indian, Chinese",700,Good Food and Service,Delivery,Sarjapur Road
"38, 22Nd Main, 22Nd Cross, Opposite Bda, 2Nd Stage, Banashankari, Bangalore",Chill Out,No,No,0,0,Banashankari,Quick Bites,Not available,"South Indian, Chinese",100,Needs Improvement,Delivery,Marathahalli
"1/34, 3Rd Cross Road, Kathriguppe Iv Phase, Banashankari 3Rd Stage, Banashankari, Bangalore",The Big O Bakes,No,No,4,66,Banashankari,Bakery,Not available,"Bakery, Desserts",300,Very Good Service,Delivery,Bellandur
"480/A, 50 Feet Road, Nagendra Block, Near Pes College, Nagendra Block, Banashankari, Bangalore",Meghana Foods,Yes,No,4.4,4401,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600,Very Good Service,Delivery,HSR
"Bda Shopping Complex, 24Th Cross Road, Siddanna Layout, 2Nd Stage, Banashankari, Bangalore",Krishna Sagar,No,No,3.5,31,Banashankari,Quick Bites,Not available,North Indian,200,Good Food and Service,Delivery,Sarjapur Road
"Shop 18 , 3Rd Cross Road,Markandeya Layout, Banashankari, Bangalore",Dessert Rose,No,No,3.5,7,Banashankari,Dessert Parlor,Not available,Desserts,500,Good Food and Service,Delivery,Bellandur
"625, 5Th Cross Road, Hanumanthnagar, Banashankari, Bangalore",Chickpet Donne Biryani House,No,No,3.7,21,Banashankari,Quick Bites,Not available,Biryani,250,Good Food and Service,Delivery,Sarjapur Road
"941, 21St Main Road, Bsk 2Nd Stage , Near Bda Complex, Banashankari, Bangalore",Me And My Cake,No,No,0,0,Banashankari,Delivery,Not available,"Bakery, Desserts",500,Needs Improvement,Delivery,HSR
"304, Opposite Apollo Public School, 100 Feet Ring Road, 4Th Phase, 7Th Block, Banashankari 3Rd Stage, Bangalore,",Sunsadm,No,No,0,0,Banashankari,"Takeaway, Delivery",Not available,South Indian,400,Needs Improvement,Delivery,Marathahalli
"3828, Near Deve Gowda Petrol Bunk, 30Th Cross, 3Rd Stage, Banashankari, Bangalore",Annapooraneshwari Mess,No,No,0,0,Banashankari,Mess,Not available,South Indian,200,Needs Improvement,Delivery,Sarjapur Road
"50 Feet Road, Hanumanthanagar, Banashankari, Bangalore",Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Dessert Parlor,Not available,Ice Cream,300,Average Experience,Delivery,Sarjapur Road
"34, 22Nd Main, 22Nd Cross, Opposite Bda, 2Nd Stage, Banashankari, Bangalore",Nandhini Deluxe,No,No,2.6,283,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600,Average Experience,Delivery,Marathahalli
"24/1, 23Rd Cross, 6Th Main Road, Opposite Kaveri Grameena Bank, 2Nd Stage, Banashankari, Bangalore",Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800,Average Experience,Delivery,HSR
"96, Opposite Jain Collage, Basavanagudi, Bangalore",Kaggis,No,No,3.8,64,Banashankari,Quick Bites,Not available,"Fast Food, Bakery",250,Good Food and Service,Delivery,Bellandur
"2465, 3Rd Floor, Opposite Bda Complex, 24Th Cross, Banashankari, Bangalore",Ayda Persian Kitchen,No,No,3.7,39,Banashankari,Casual Dining,Not available,"North Indian, Iranian",950,Good Food and Service,Delivery,Sarjapur Road
"295/A, 7Th Main Road, 7Th Block, 3Rd Stage, Banashankari, Bangalore",Chatar Patar,No,No,3.7,65,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300,Good Food and Service,Delivery,Marathahalli
"1189, 10Th Cross, Shankarnag Circle, 1St Stage, 2Nd Block, Banashankari, Bangalore",Polar Bear,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400,Good Food and Service,Delivery,Bellandur
"415, 1St C Cross, Banashankari 3Rd Stage, 5Th Block, Bangalore, Banashankari, Bangalore",Kidambi's Kitchen,No,No,3.5,52,Banashankari,Quick Bites,Rooftop Ambience,South Indian,300,Good Food and Service,Delivery,Sarjapur Road
